CODIGO_CA,COMUNIDAD_AUTONOMA,Codigo Provincia,PROVINCIA,NUMERO_INSCRIPCION,Codigo Municipio,DENOMINACION,FECHA_INSCRIPCION,SUPERFICIE,HABITANTES,DENSIDAD,CAPITALIDAD,ANOTACION
1,Andalucía,13385,Almería,1040010,5517,Abla,16/02/87,"45,24",1249,"27,61",Abla, 
1,Andalucía,13385,Almería,1040025,5518,Abrucena,22/04/87,"83,68",1202,"14,36",Abrucena, 
1,Andalucía,13385,Almería,1040031,5519,Adra,13/11/86,"89,69",25148,"280,39",Adra, 
1,Andalucía,13385,Almería,1040046,5520,Albanchez,22/04/87,"34,91",741,"21,23",Albanchez," 
 
 "
1,Andalucía,13385,Almería,1040059,5521,Alboloduy,19/01/87,"69,73",616,"8,83",Alboloduy, 
1,Andalucía,13385,Almería,1040062,5522,Albox,16/02/87,"168,28",11805,"70,15",Albox," 
 "
1,Andalucía,13385,Almería,1040078,5523,Alcolea,13/11/86,"67,52",825,"12,22",Alcolea, 
1,Andalucía,13385,Almería,1040084,5524,Alcóntar,25/05/87,"93,91",505,"5,38",Alcóntar, 
1,Andalucía,13385,Almería,1040097,5525,Alcudia de Monteagud,01/12/86,"15,52",152,"9,79",Alcudia de Monteagud," 
 
 
 
 
 "
1,Andalucía,13385,Almería,1040101,5526,Alhabia,28/10/86,"16,39",671,"40,94",Alhabia, 
1,Andalucía,13385,Almería,1040118,5527,Alhama de Almería,13/11/86,"26,24",3641,"138,76",Alhama de Almería, 
1,Andalucía,13385,Almería,1040123,5528,Alicún,01/12/86,"5,87",206,"35,09",Alicún, 
1,Andalucía,13385,Almería,1040139,5529,Almería,01/12/86,"295,72",198533,"671,35",Almería, 
1,Andalucía,13385,Almería,1040144,5530,Almócita,16/02/87,"30,83",169,"5,48",Almócita, 
1,Andalucía,13385,Almería,1040157,5531,Alsodux,22/12/86,"20,1",125,"6,22",Alsodux, 
1,Andalucía,13385,Almería,1040160,5532,Antas,16/02/87,"99,73",3182,"31,91",Antas," 
 
 
 
 "
1,Andalucía,13385,Almería,1040176,5533,Arboleas,13/11/86,"66,14",4596,"69,49",Arboleas," 
 "
1,Andalucía,13385,Almería,1040182,5534,Armuña de Almanzora,13/11/86,"7,72",302,"39,12",Armuña de Almanzora," 
 
 
 
 
 
 "
1,Andalucía,13385,Almería,1040195,5535,Bacares,25/05/87,"94,52",246,"2,6",Bacares," 
 
 "
1,Andalucía,13385,Almería,1049047,13459,Balanegra,15/07/15,"31,59",3009,"95,25",Balanegra," 
 
 "
1,Andalucía,13385,Almería,1040209,5536,Bayárcal,22/04/87,"38,02",317,"8,34",Bayárcal, 
1,Andalucía,13385,Almería,1040216,5537,Bayarque,13/11/86,"26,36",215,"8,16",Bayarque," 
 
 
 
 "
1,Andalucía,13385,Almería,1040221,5538,Bédar,22/04/87,"46,72",971,"20,78",Bédar, 
1,Andalucía,13385,Almería,1040237,5539,Beires,22/04/87,"38,83",110,"2,83",Beires, 
1,Andalucía,13385,Almería,1040242,5540,Benahadux,13/11/86,"16,62",4382,"263,66",Benahadux, 
1,Andalucía,13385,Almería,1040268,5541,Benitagla,13/11/86,"6,4",58,"9,06",Benitagla," 
 
 "
1,Andalucía,13385,Almería,1040274,5542,Benizalón,19/01/87,"31,97",254,"7,94",Benizalón," 
 "
1,Andalucía,13385,Almería,1040280,5543,Bentarique,01/12/86,"11,34",238,"20,99",Bentarique, 
1,Andalucía,13385,Almería,1040293,5544,Berja,19/01/87,"185,81",12415,"66,82",Berja, 
1,Andalucía,13385,Almería,1040307,5545,Canjáyar,13/11/86,"66,93",1214,"18,14",Canjáyar, 
1,Andalucía,13385,Almería,1040314,5546,Cantoria,13/11/86,"78,95",3204,"40,58",Cantoria," 
 
 
 
 
 "
1,Andalucía,13385,Almería,1040329,5547,Carboneras,19/01/87,"95,46",8004,"83,85",Carboneras, 
1,Andalucía,13385,Almería,1040335,5548,Castro de Filabres,22/04/87,"29,24",123,"4,21",Castro de Filabres, 
1,Andalucía,13385,Almería,1040366,5551,Chercos,13/11/86,"13,55",278,"20,52",Chercos," 
 "
1,Andalucía,13385,Almería,1040372,5552,Chirivel,16/02/87,"196,47",1472,"7,49",Chirivel, 
1,Andalucía,13385,Almería,1040340,5549,Cóbdar,01/12/86,"31,99",171,"5,35",Cóbdar," 
 
 
 
 
 "
1,Andalucía,13385,Almería,1040353,5550,Cuevas del Almanzora,13/11/86,"263,98",14081,"53,34",Cuevas del Almanzora," 
 
 
 "
1,Andalucía,13385,Almería,1040388,5553,Dalías,19/01/87,"141,73",4006,"28,27",Dalías," 
 "
1,Andalucía,13385,Almería,1049026,5617,"Ejido, El",19/01/87,"226,13",83594,"369,67","Ejido, El"," 
 "
1,Andalucía,13385,Almería,1040412,5554,Enix,01/12/86,"66,84",466,"6,97",Enix, 
1,Andalucía,13385,Almería,1040433,5555,Felix,01/12/86,"81,26",628,"7,73",Felix, 
1,Andalucía,13385,Almería,1040448,5556,Fines,13/11/86,"23,12",2079,"89,92",Fines," 
 
 "
1,Andalucía,13385,Almería,1040451,5557,Fiñana,01/12/86,"133,96",1994,"14,89",Fiñana, 
1,Andalucía,13385,Almería,1040464,5558,Fondón,16/02/87,"91,16",989,"10,85",Fondón, 
1,Andalucía,13385,Almería,1040470,5559,Gádor,16/02/87,"87,67",3012,"34,36",Gádor, 
1,Andalucía,13385,Almería,1040486,5560,"Gallardos, Los",16/10/87,"34,9",2794,"80,06","Gallardos, Los", 
1,Andalucía,13385,Almería,1040499,5561,Garrucha,19/01/87,"7,77",9212,"1185,59",Garrucha, 
1,Andalucía,13385,Almería,1040502,5562,Gérgal,01/12/86,"229,49",1030,"4,49",Gérgal, 
1,Andalucía,13385,Almería,1040519,5563,Huécija,13/11/86,"19,02",480,"25,24",Huécija, 
1,Andalucía,13385,Almería,1040524,5564,Huércal de Almería,19/01/87,"20,93",17651,"843,33",Huércal de Almería, 
1,Andalucía,13385,Almería,1040530,5565,Huércal-Overa,13/11/86,"318,46",19127,"60,06",Huércal-Overa," 
 
 
 
 
 "
1,Andalucía,13385,Almería,1040545,5566,Íllar,01/12/86,"19,19",394,"20,53",Íllar, 
1,Andalucía,13385,Almería,1040558,5567,Instinción,13/11/86,"33,48",448,"13,38",Instinción, 
1,Andalucía,13385,Almería,1040561,5568,Laroya,01/12/86,"21,71",192,"8,84",Laroya," 
 
 "
1,Andalucía,13385,Almería,1040577,5569,Láujar de Andarax,19/01/87,"92,81",1536,"16,55",Láujar de Andarax, 
1,Andalucía,13385,Almería,1040583,5570,Líjar,13/11/86,"28,24",390,"13,81",Líjar," 
 
 
 "
1,Andalucía,13385,Almería,1040596,5571,Lubrín,01/12/86,"138,14",1477,"10,69",Lubrín," 
 
 
 
 
 
 
 "
1,Andalucía,13385,Almería,1040600,5572,Lucainena de las Torres,01/12/86,"123,2",538,"4,37",Lucainena de las Torres, 
1,Andalucía,13385,Almería,1040617,5573,Lúcar,13/11/86,"100,72",763,"7,58",Lúcar," 
 
 
 
 
 "
1,Andalucía,13385,Almería,1040622,5574,Macael,01/12/86,"43,82",5482,"125,1",Macael," 
 "
1,Andalucía,13385,Almería,1040638,5575,María,13/11/86,"225,62",1238,"5,49",María, 
1,Andalucía,13385,Almería,1040643,5576,Mojácar,08/02/88,"71,54",6403,"89,5",Mojácar, 
1,Andalucía,13385,Almería,1049032,5618,"Mojonera, La",01/12/86,"23,87",9021,"377,92","Mojonera, La", 
1,Andalucía,13385,Almería,1040656,5577,Nacimiento,01/12/86,"80,76",495,"6,13",Nacimiento, 
1,Andalucía,13385,Almería,1040669,5578,Níjar,01/12/86,"599,77",30663,"51,12",Níjar, 
1,Andalucía,13385,Almería,1040675,5579,Ohanes,18/01/88,"32,41",580,"17,9",Ohanes, 
1,Andalucía,13385,Almería,1040681,5580,Olula de Castro,16/02/87,"33,6",196,"5,83",Olula de Castro, 
1,Andalucía,13385,Almería,1040694,5581,Olula del Río,19/01/87,"23,44",6210,"264,93",Olula del Río, 
1,Andalucía,13385,Almería,1040708,5582,Oria,13/11/86,"234,71",2249,"9,58",Oria," 
 "
1,Andalucía,13385,Almería,1040715,5583,Padules,19/01/87,"26,49",410,"15,48",Padules, 
1,Andalucía,13385,Almería,1040720,5584,Partaloa,01/12/86,"52,61",1110,"21,1",Partaloa," 
 
 
 "
1,Andalucía,13385,Almería,1040736,5585,Paterna del Río,22/04/87,"45,48",371,"8,16",Paterna del Río, 
1,Andalucía,13385,Almería,1040741,5586,Pechina,13/11/86,"46,06",4037,"87,65",Pechina, 
1,Andalucía,13385,Almería,1040754,5587,Pulpí,19/01/87,"94,6",10055,"106,29",Pulpí, 
1,Andalucía,13385,Almería,1040767,5588,Purchena,16/12/86,"56,6",1618,"28,59",Purchena, 
1,Andalucía,13385,Almería,1040773,5589,Rágol,01/12/86,"26,92",316,"11,74",Rágol, 
1,Andalucía,13385,Almería,1040789,5590,Rioja,16/10/87,"36,4",1417,"38,93",Rioja, 
1,Andalucía,13385,Almería,1040792,5591,Roquetas de Mar,25/05/87,"59,65",96800,"1622,8",Roquetas de Mar, 
1,Andalucía,13385,Almería,1040806,5592,Santa Cruz de Marchena,19/01/87,"19,97",208,"10,42",Santa Cruz de Marchena, 
1,Andalucía,13385,Almería,1040813,5593,Santa Fe de Mondújar,19/01/87,"34,87",452,"12,96",Santa Fe de Mondújar, 
1,Andalucía,13385,Almería,1040828,5594,Senés,13/11/86,"50,25",295,"5,87",Senés, 
1,Andalucía,13385,Almería,1040834,5595,Serón,13/11/86,"166,28",2041,"12,27",Serón," 
 "
1,Andalucía,13385,Almería,1040849,5596,Sierro,13/11/86,"27,64",381,"13,78",Sierro," 
 
 "
1,Andalucía,13385,Almería,1040852,5597,Somontín,13/11/86,"16,13",446,"27,65",Somontín," 
 "
1,Andalucía,13385,Almería,1040865,5598,Sorbas,19/01/87,"249,16",2388,"9,58",Sorbas," 
 "
1,Andalucía,13385,Almería,1040871,5599,Suflí,19/01/87,"10,09",204,"20,22",Suflí, 
1,Andalucía,13385,Almería,1040887,5600,Tabernas,13/11/86,"280,38",3688,"13,15",Tabernas, 
1,Andalucía,13385,Almería,1040890,5601,Taberno,01/12/86,"44,06",925,"20,99",Taberno," 
 "
1,Andalucía,13385,Almería,1040904,5602,Tahal,01/12/86,"94,6",362,"3,83",Tahal," 
 
 
 "
1,Andalucía,13385,Almería,1040911,5603,Terque,01/12/86,"15,72",377,"23,98",Terque, 
1,Andalucía,13385,Almería,1040926,5604,Tíjola,13/11/86,"67,73",3541,"52,28",Tíjola," 
 
 "
1,Andalucía,13385,Almería,1049011,5616,"Tres Villas, Las",02/11/87,"85,35",568,"6,65",Doña María Ocaña, 
1,Andalucía,13385,Almería,1040932,5605,Turre,13/11/86,"107,96",3549,"32,87",Turre, 
1,Andalucía,13385,Almería,1040947,5606,Turrillas,25/05/87,"39,17",240,"6,13",Turrillas, 
1,Andalucía,13385,Almería,1040950,5607,Uleila del Campo,01/12/86,"38,67",833,"21,54",Uleila del Campo," 
 "
1,Andalucía,13385,Almería,1040963,5608,Urrácal,13/11/86,"25,47",350,"13,74",Urrácal, 
1,Andalucía,13385,Almería,1040979,5609,Velefique,13/11/86,"66,45",242,"3,64",Velefique, 
1,Andalucía,13385,Almería,1040985,5610,Vélez-Blanco,16/02/87,"441,31",1904,"4,31",Vélez-Blanco, 
1,Andalucía,13385,Almería,1040998,5611,Vélez-Rubio,01/12/86,"282,05",6555,"23,24",Vélez-Rubio," 
 
 "
1,Andalucía,13385,Almería,1041002,5612,Vera,01/12/86,"57,59",16452,"285,67",Vera," 
 "
1,Andalucía,13385,Almería,1041019,5613,Viator,19/01/87,"20,62",5885,"285,4",Viator, 
1,Andalucía,13385,Almería,1041024,5614,Vícar,04/11/86,"64,34",26028,"404,54",Vícar, 
1,Andalucía,13385,Almería,1041030,5615,Zurgena,13/11/86,"71,67",3005,"41,93",Zurgena," 
 "
1,Andalucía,13386,Cádiz,1110012,6999,Alcalá de los Gazules,26/11/86,"479,07",5219,"10,89",Alcalá de los Gazules," 
 
 
 
 
 
 
 
 "
1,Andalucía,13386,Cádiz,1110027,7000,Alcalá del Valle,26/11/86,"46,89",5046,"107,61",Alcalá del Valle, 
1,Andalucía,13386,Cádiz,1110033,7001,Algar,16/03/87,"26,61",1413,"53,1",Algar, 
1,Andalucía,13386,Cádiz,1110048,7002,Algeciras,19/01/87,"87,96",121957,"1386,51",Algeciras, 
1,Andalucía,13386,Cádiz,1110051,7003,Algodonales,26/11/86,"134,05",5550,"41,4",Algodonales, 
1,Andalucía,13386,Cádiz,1110064,7004,Arcos de la Frontera,14/10/87,"526,81",30700,"58,28",Arcos de la Frontera, 
1,Andalucía,13386,Cádiz,1110070,7005,Barbate,26/11/86,"142,17",22518,"158,39",Barbate," 
 "
1,Andalucía,13386,Cádiz,1110086,7006,"Barrios, Los",26/11/86,"330,44",23642,"71,55","Barrios, Los"," 
 
 "
1,Andalucía,13386,Cádiz,1119013,7041,Benalup-Casas Viejas,29/04/91,"60,37",6929,"114,78",Benalup-Casas Viejas, 
1,Andalucía,13386,Cádiz,1110099,7007,Benaocaz,26/11/86,"69,39",671,"9,67",Benaocaz, 
1,Andalucía,13386,Cádiz,1110103,7008,Bornos,26/11/86,"55,09",7670,"139,23",Bornos, 
1,Andalucía,13386,Cádiz,1110110,7009,"Bosque, El",26/11/86,"30,75",2145,"69,76","Bosque, El", 
1,Andalucía,13386,Cádiz,1110125,7010,Cádiz,26/11/86,"12,3",116027,"9433,09",Cádiz, 
1,Andalucía,13386,Cádiz,1110131,7011,Castellar de la Frontera,26/11/86,"180,28",3049,"16,91",Castellar de la Frontera," 
 
 
 "
1,Andalucía,13386,Cádiz,1110159,7013,Chiclana de la Frontera,22/10/86,"205,86",84489,"410,42",Chiclana de la Frontera, 
1,Andalucía,13386,Cádiz,1110162,7014,Chipiona,26/11/86,"32,9",19123,"581,25",Chipiona, 
1,Andalucía,13386,Cádiz,1110146,7012,Conil de la Frontera,26/11/86,"88,07",22529,"255,81",Conil de la Frontera, 
1,Andalucía,13386,Cádiz,1110178,7015,Espera,14/10/87,"123,44",3860,"31,27",Espera, 
1,Andalucía,13386,Cádiz,1110184,7016,"Gastor, El",26/11/86,"27,54",1752,"63,62","Gastor, El", 
1,Andalucía,13386,Cádiz,1110197,7017,Grazalema,30/01/87,"122,41",2027,"16,56",Grazalema, 
1,Andalucía,13386,Cádiz,1110201,7018,Jerez de la Frontera,26/11/86,"1187,92",212749,"179,09",Jerez de la Frontera," 
 
 
 
 
 
 "
1,Andalucía,13386,Cádiz,1110218,7019,Jimena de la Frontera,26/11/86,"298,42",6951,"23,29",Jimena de la Frontera," 
 
 "
1,Andalucía,13386,Cádiz,1110223,7020,"Línea de la Concepción, La",26/11/86,"26,67",63147,"2367,72","Línea de la Concepción, La", 
1,Andalucía,13386,Cádiz,1110239,7021,Medina Sidonia,26/11/86,"487,23",11708,"24,03",Medina Sidonia," 
 
 
 
 "
1,Andalucía,13386,Cádiz,1110244,7022,Olvera,26/11/86,"193,69",8113,"41,89",Olvera, 
1,Andalucía,13386,Cádiz,1110257,7023,Paterna de Rivera,26/11/86,"13,83",5470,"395,52",Paterna de Rivera," 
 "
1,Andalucía,13386,Cádiz,1110260,7024,Prado del Rey,26/11/86,"48,58",5605,"115,38",Prado del Rey, 
1,Andalucía,13386,Cádiz,1110276,7025,"Puerto de Santa María, El",01/09/86,"159,09",88405,"555,69","Puerto de Santa María, El"," 
 
 
 "
1,Andalucía,13386,Cádiz,1110282,7026,Puerto Real,14/10/87,"196,02",41627,"212,36",Puerto Real," 
 "
1,Andalucía,13386,Cádiz,1110295,7027,Puerto Serrano,26/11/86,"79,85",6941,"86,93",Puerto Serrano, 
1,Andalucía,13386,Cádiz,1110309,7028,Rota,28/01/87,"84,19",29109,"345,75",Rota, 
1,Andalucía,13386,Cádiz,1110316,7029,San Fernando,26/11/86,"30,65",94979,"3098,83",San Fernando, 
1,Andalucía,13386,Cádiz,1119028,7042,San José del Valle,26/06/95,"223,85",4418,"19,74",San José del Valle, 
1,Andalucía,13386,Cádiz,1119034,13488,San Martín del Tesorillo,09/01/19,"48,44",2753,"56,83",San Martín del Tesorillo, 
1,Andalucía,13386,Cádiz,1110337,7031,San Roque,14/08/86,"39,56",31218,"789,13",San Roque, 
1,Andalucía,13386,Cádiz,1110321,7030,Sanlúcar de Barrameda,26/11/86,"170,27",68684,"403,38",Sanlúcar de Barrameda," 
 "
1,Andalucía,13386,Cádiz,1110342,7032,Setenil de las Bodegas,13/01/87,"82,15",2769,"33,71",Setenil de las Bodegas, 
1,Andalucía,13386,Cádiz,1110355,7033,Tarifa,26/11/86,"419,76",18162,"43,27",Tarifa," 
 "
1,Andalucía,13386,Cádiz,1110368,7034,Torre Alháquime,30/01/87,"17,36",790,"45,51",Torre Alháquime, 
1,Andalucía,13386,Cádiz,1110374,7035,Trebujena,26/11/86,"70,72",7028,"99,38",Trebujena, 
1,Andalucía,13386,Cádiz,1110380,7036,Ubrique,26/11/86,"69,75",16597,"237,95",Ubrique, 
1,Andalucía,13386,Cádiz,1110393,7037,Vejer de la Frontera,26/11/86,"263,94",12624,"47,83",Vejer de la Frontera," 
 "
1,Andalucía,13386,Cádiz,1110407,7038,Villaluenga del Rosario,26/11/86,"59,46",455,"7,65",Villaluenga del Rosario, 
1,Andalucía,13386,Cádiz,1110414,7039,Villamartín,26/11/86,"211,85",12150,"57,35",Villamartín, 
1,Andalucía,13386,Cádiz,1110429,7040,Zahara,26/11/86,"72,48",1387,"19,14",Zahara, 
1,Andalucía,13387,Córdoba,1140018,7280,Adamuz,18/08/86,"334,99",4192,"12,51",Adamuz," 
 
 "
1,Andalucía,13387,Córdoba,1140023,7281,Aguilar de la Frontera,10/10/86,"166,06",13328,"80,26",Aguilar de la Frontera," 
 
 
 "
1,Andalucía,13387,Córdoba,1140039,7282,Alcaracejos,01/09/86,"175,87",1486,"8,45",Alcaracejos," 
 
 "
1,Andalucía,13387,Córdoba,1140044,7283,Almedinilla,23/11/87,"55,52",2391,"43,07",Almedinilla, 
1,Andalucía,13387,Córdoba,1140057,7284,Almodóvar del Río,22/08/86,"172,53",7937,46,Almodóvar del Río, 
1,Andalucía,13387,Córdoba,1140060,7285,Añora,12/08/86,"112,25",1527,"13,6",Añora," 
 "
